TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AdaptSpdKnobPush;FCU_AdaptVsKnobPull;FCU_AdaptVsKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
421.62;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.06427000000000001;0.10712;-0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.027026;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5713.371399882569;204.5710468840297;EFB;0;
421.63;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.49625;0.053558;0.07498200000000001;-0.010712;0.042847;0.0;1.0;0.0;1.0;0.0;-0.0046346;-0.064188;-0.06806;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5713.7729679985105;204.58276987962634;EFB;0;
421.64;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.08569299999999999;0.010712;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.075002;-0.073196;-0.06690700000000001;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5714.17455412338;204.59449321967077;EFB;0;
421.65;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.06427000000000001;0.010712;0.021423;0.0;1.0;0.0;1.0;0.0;-0.077309;-0.018018;-0.06806;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5714.576158257555;204.60621690416377;EFB;0;
421.66;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.07498200000000001;0.07498200000000001;0.12854000000000002;-0.042847;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.018018;-0.0646;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5714.977780401408;204.61794093310604;EFB;0;
421.67;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;27.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.08569299999999999;0.032135000000000004;0.021423;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.032657;-0.069214;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5715.3794205553195;204.62966530649834;EFB;0;
421.68;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.07498200000000001;0.021423;0.010712;0.0;1.0;0.0;1.0;0.0;-0.07961599999999999;-0.073196;-0.06806;0.036777;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5715.781078719664;204.64139002434138;EFB;0;
421.69;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.07498200000000001;0.07498200000000001;0.010712;0.021423;0.0;1.0;0.0;1.0;0.0;-0.041549;-0.034909;-0.06575299999999999;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5716.182754894816;204.65311508663586;EFB;0;
421.7;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4931100000000001;0.06427000000000001;0.08569299999999999;0.032135000000000004;0.010712;0.0;1.0;0.0;1.0;0.0;-0.070388;0.0011261;-0.06806;0.035666;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5716.584449081154;204.66484049338254;EFB;0;
421.71;0.0;0.0;9000.0;9000.0;0.0;10.0;20.0;28.0;1.0;0.0;1.0;1.0;1.0;0.4899600000000001;0.06427000000000001;0.08569299999999999;-0.032135000000000004;0.032135000000000004;0.0;1.0;0.0;1.0;0.0;-0.083077;-0.034909;-0.06690700000000001;0.034555;0.0;1.0;1.0;26.5;26.5;24.931;24.931;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.91;9000.0;1.0;2200.0;138.0;90.0;138.0;1.0;4.0;8.0;100.0;100.0;22.0;0.0;0.0;0.0;0.0;1.0;29.91;0.0;0.0;1.0;1.0;0.0;5716.9861612790555;204.67656624458223;EFB;0;
